,reviews
0,"
I have purchased this boat earphone few months ago...😊Here I'm sharing our experience with this product.Build quality⏮️⏭️ Its build quality is Awesome and looks premium in hands when you hold it in your hands. Also its a light weight product.Sound quality⏮️⏭️ sound quality is good.Works well for soft and melody songs with my personal experience.Length⏮️⏭️ comes with long size cable which is a cool thing and I like it. One thing I like is that it comes with a strap to tangle the cable.Ear comfort ⏮️⏭️ get fit easily in ears.Durability ⏮️⏭️ It will depend what kind of user you are.  If you're protective towards your stuff so maybe this will be a last long product.******************************************Cons⏯️⏯️Come with dedicated microphone which works ok ok. There is still noise in calling while traveling. So not satisfied with this noise cancellation Mike.I am not satisfied with the bass quality.  It works average.******************************************What you will get inside?⏮️⏭️ You will get earphone with some paperwork's and it comes with one year warranty  which you have to activate by calling on the given number I guess.You will also get two pairs of additional ear protector for further use.I hope this will help you to make your purchase decision.😊
"
1,"
One of the best pair of earphone for the price1} Sound quality is amazing for the price 😍2} Built quality is good but not the best but  for the budget price I can say its good ⚡3} Headphone jack is not gold plated ⚠️4} I have been using this earphone from past more than a year and have replaced it once under warranty which was super easy hassel free🎶5} I have used many other brand earphones such as JBL, Sony, Sennheiser, RHA, Boultaudio and recently Infinity and I am not a professional but have experience of many earphones so I can say this is the best sounding in budget and very comfortable in shape to use for longer duration 💯💥I can definitely recommend this earphones must buy in budget segment 🔝🔝✅🔥🔥
"
2,"
Build quality (5/5)Durability (4/5)Wire length and tangle free(5/5)Sound quality (5/5)Microphone (4/5)Ear comfort (5/5)This product met my expectations....Thanks Amazon ❤️
"
3,"
I bought this in sept and I'm NOT SATISFIED with the purchase... Don't get me wrong, the sound quality is amazing for a earphone this cheap, but its flat... The bass kicks in only when there's too much bass in the music, else the sound feels very flat... Also the audio via the microphone is bad, and the mic is located on the split end of the cable, which is very low... At times I've heard people complaining that they cannot hear my voice clearly... Only for those who are struck with the price tag of 300-400rs... In that range its good, but if you can spend a 100rs more, get the basshead 225...
"
4,"
For a price of rs 400 it's worth the cost, i previously used boat bassheads 225, now i tried this for pricing it does the job.Pros,Easy fitNice qualityGood bassInbuilt micCons.It doesn't have a clip or dual coloured ear buds noraml black only.Maybe you should give blue, red colour like other products.The connecting cable will be flat unlike folded one, that quite difficult while playing games or youtube bt you figure it out gow to mangae itUpdateAfter 9 months one side stopped working and i have complained in their official website with downloaded invoice from amazon and the next day my product was picked and in next 15 days got newer one. For the 400 rs it lasted about one and half years that was good for the price and it has one year warranty compared to mi and realme 6 months warranty and you have to carry your products to their outlets.Note .While claiming warranty you have to upload invoice that has to be downloaded only in pc version as of now ,so login amzon account in seperate browser in desktop mode or use pc to download the invoice.
"
5,"
After using it for less than one week one of the headphone wire comes from the Mic join point. It detached automatically. Yes, automatically. No pressure no pulling caused this. I did my registration and complain to their website. They sent me a ticket number through email and text message. I am so so disappointed ; don't know when pick up will happen and when I will get a non defective earphone. Such a horrible experience.
"
6,"
This is a very great earphone with a good quality sound, but it's not for rough usage! The sound is flat, so less bass in regular condition! But the earphone has got a very good frequency range. So still a deep bass is possible but with an equalizer. You can try my preset.  Also remember that the quality of sound also depends on your device's sound card.
"
7,"
I bought this earphone cause I had read in the reviews that they provide excellent after sales service and replace the earphone if any defect occurs. I had previously tried many companies earphones but in a few months always they would give problems. The sound quality and durability is amazing for the price. But due to rough usage one ear stopped working after 3 months. But the after sales services are amazing. They arranged a pickup of my old earphones and delivered a new pair to me after 10 days.Really happy customer
"
8,"
One of my friend has this product that's y I came for this product.  My idea is to by skull candy only but cos of my frd i came for this product. He s having good product but what I got is defective material. Actually i got this by last week at my work place. I got an emergency to travel so i left the product at my office itself. Yesterday I came and checked the product. It's a broken one. Yes it's broke at the connector area.  They hide it and deliver to me. While checking the product didn't work after full checking headset came into 2 parts. Kindly return my money back or send me a genuine product.
"
9,"
Sadly just 2 months and it is dead. the most sad part is it was sold with one year warrenty but within a month they refused to replace the item. total waste of  hard earn money.
"
10,"
I have purchased this boat earphone few months ago...😊Here I'm sharing our experience with this product.Build quality⏮️⏭️ Its build quality is Awesome and looks premium in hands when you hold it in your hands. Also its a light weight product.Sound quality⏮️⏭️ sound quality is good.Works well for soft and melody songs with my personal experience.Length⏮️⏭️ comes with long size cable which is a cool thing and I like it. One thing I like is that it comes with a strap to tangle the cable.Ear comfort ⏮️⏭️ get fit easily in ears.Durability ⏮️⏭️ It will depend what kind of user you are.  If you're protective towards your stuff so maybe this will be a last long product.******************************************Cons⏯️⏯️Come with dedicated microphone which works ok ok. There is still noise in calling while traveling. So not satisfied with this noise cancellation Mike.I am not satisfied with the bass quality.  It works average.******************************************What you will get inside?⏮️⏭️ You will get earphone with some paperwork's and it comes with one year warranty  which you have to activate by calling on the given number I guess.You will also get two pairs of additional ear protector for further use.I hope this will help you to make your purchase decision.😊
"
